job_id,job_title,company_name,location,company_name,company_size,industry
1,Data Analyst,Foster and Sons,"Tracybury, AR",Foster and Sons,Large,Healthcare
2,Computer Vision Engineer,"Boyd, Myers and Ramirez","Lake Scott, CU","Boyd, Myers and Ramirez",Large,Tech
3,Quant Researcher,King Inc,"East Paige, CM",King Inc,Large,Tech
4,AI Product Manager,"Cooper, Archer and Lynch","Perezview, FI","Cooper, Archer and Lynch",Large,Tech
5,Data Scientist,Hall LLC,"North Desireeland, NE",Hall LLC,Large,Finance
6,AI Product Manager,Ellis PLC,"South Kevin, TZ",Ellis PLC,Large,E-commerce
7,Data Analyst,Matthews-Moses,"West Shawn, LR",Matthews-Moses,Large,Automotive
8,Data Scientist,Mullins Ltd,"Port Hailey, RU",Mullins Ltd,Large,Education
9,ML Engineer,Aguilar PLC,"Butlermouth, GB",Aguilar PLC,Large,Healthcare
10,Computer Vision Engineer,Parks LLC,"Nicoleshire, BA",Parks LLC,Large,Automotive
11,Data Scientist,Vaughan-Ortiz,"New Angelatown, LU",Vaughan-Ortiz,Large,Tech
12,ML Engineer,"Johnson, Guzman and Hernandez","Joychester, LT","Johnson, Guzman and Hernandez",Large,Finance
13,NLP Engineer,Martin and Sons,"South Michael, FM",Martin and Sons,Startup,E-commerce
14,Quant Researcher,Frank-Duarte,"Christianberg, GQ",Frank-Duarte,Mid,Retail
15,NLP Engineer,Rogers Ltd,"New Katieborough, FJ",Rogers Ltd,Large,Education
16,NLP Engineer,Wright-Evans,"Stephaniechester, LU",Wright-Evans,Startup,Automotive
17,ML Engineer,Preston Ltd,"South Tim, CZ",Preston Ltd,Mid,E-commerce
18,AI Product Manager,Smith-Moore,"Blevinsburgh, VU",Smith-Moore,Startup,Automotive
19,Data Scientist,Webb and Sons,"Parkmouth, CA",Webb and Sons,Mid,Healthcare
20,ML Engineer,Gates LLC,"Stevenhaven, BW",Gates LLC,Large,E-commerce
21,Quant Researcher,"Whitaker, Walker and Sandoval","Gregorymouth, LV","Whitaker, Walker and Sandoval",Large,Retail
22,Quant Researcher,Humphrey LLC,"Lake Alexander, RU",Humphrey LLC,Large,Retail
23,NLP Engineer,"Adams, Stevenson and Wagner","North Nicholas, SN","Adams, Stevenson and Wagner",Startup,E-commerce
24,NLP Engineer,"Thomas, Hurst and Becker","Leeton, MW","Thomas, Hurst and Becker",Mid,Tech
25,NLP Engineer,Sherman-Nguyen,"Suzanneview, TW",Sherman-Nguyen,Mid,Healthcare
26,NLP Engineer,Johnson-Keller,"Whitestad, BB",Johnson-Keller,Mid,Finance
27,Quant Researcher,Le PLC,"Taraburgh, DZ",Le PLC,Large,Education
28,Data Analyst,"Abbott, Nielsen and Young","New Richard, TD","Abbott, Nielsen and Young",Startup,Healthcare
29,Data Analyst,Thomas-Ruiz,"South Donaldton, GE",Thomas-Ruiz,Startup,Finance
30,Data Analyst,"Good, Ware and Cruz","North Michael, TT","Good, Ware and Cruz",Startup,Finance
31,Quant Researcher,Gay PLC,"Port Patriciaport, TG",Gay PLC,Startup,Tech
32,Data Scientist,Kirby-Zuniga,"Danielchester, ID",Kirby-Zuniga,Mid,Healthcare
33,AI Product Manager,"Castillo, Campbell and Robinson","Alexandriaburgh, KN","Castillo, Campbell and Robinson",Startup,Tech
34,NLP Engineer,Carter LLC,"West Charles, TT",Carter LLC,Startup,Finance
35,Computer Vision Engineer,Hall Group,"North Denise, MC",Hall Group,Large,Automotive
36,Computer Vision Engineer,Huynh PLC,"Kirbyside, LT",Huynh PLC,Startup,Finance
37,AI Researcher,"Smith, Haas and Mendez","Lake John, AU","Smith, Haas and Mendez",Mid,Retail
38,ML Engineer,"Briggs, Shaw and Berry","East Ashleyland, PL","Briggs, Shaw and Berry",Startup,E-commerce
39,Data Scientist,Boyd PLC,"Port Misty, NL",Boyd PLC,Mid,Retail
40,Data Analyst,"Sanders, Mejia and Townsend","Deleonchester, HN","Sanders, Mejia and Townsend",Mid,Automotive
41,Quant Researcher,Hernandez Inc,"Nicoleport, BF",Hernandez Inc,Mid,E-commerce
42,NLP Engineer,"Parrish, White and Grant","Kimside, BW","Parrish, White and Grant",Startup,E-commerce
43,AI Product Manager,"Carroll, Lucero and Lambert","Simsside, TD","Carroll, Lucero and Lambert",Large,Healthcare
44,Quant Researcher,"Thomas, Waller and Kelly","South Jeremiah, MX","Thomas, Waller and Kelly",Large,Education
45,Quant Researcher,"Franklin, Wright and Berg","Ramirezmouth, PK","Franklin, Wright and Berg",Mid,Automotive
46,ML Engineer,"Coleman, Gray and Roach","New Rachelmouth, IT","Coleman, Gray and Roach",Startup,Healthcare
47,Data Scientist,Mooney-Decker,"Jennyland, TR",Mooney-Decker,Startup,Finance
48,Computer Vision Engineer,Wood LLC,"Port Johnville, MA",Wood LLC,Mid,Automotive
49,NLP Engineer,Copeland Group,"North Josephshire, YE",Copeland Group,Mid,Education
50,NLP Engineer,Richards PLC,"Lewismouth, TD",Richards PLC,Large,Finance
51,AI Product Manager,"Melendez, Williams and Williamson","Steinside, IT","Melendez, Williams and Williamson",Large,E-commerce
52,Computer Vision Engineer,"Ellis, Crane and Boyle","North Jason, MR","Ellis, Crane and Boyle",Mid,E-commerce
53,Data Scientist,Foley-Moore,"Thomasfort, KG",Foley-Moore,Large,Finance
54,Quant Researcher,Wright and Sons,"Chavezstad, TG",Wright and Sons,Large,Tech
55,Quant Researcher,Williams-Vargas,"Carlland, ME",Williams-Vargas,Startup,Healthcare
56,ML Engineer,Hill-Huff,"Jessicamouth, PT",Hill-Huff,Startup,Tech
57,Data Analyst,Meyer PLC,"Caitlynmouth, MR",Meyer PLC,Mid,Education
58,ML Engineer,Boyd-Carlson,"Villarrealhaven, KI",Boyd-Carlson,Large,Retail
59,AI Researcher,Scott-Gardner,"North Laurie, BI",Scott-Gardner,Large,Tech
60,AI Product Manager,Jackson Group,"East Juliashire, TR",Jackson Group,Startup,Finance
61,Data Analyst,"Sullivan, Silva and Sawyer","North Jonathan, NL","Sullivan, Silva and Sawyer",Mid,Finance
62,AI Product Manager,"Page, Bonilla and Cohen","Port Jacobchester, SB","Page, Bonilla and Cohen",Startup,Retail
63,Computer Vision Engineer,Young-Wright,"Kaylaburgh, NO",Young-Wright,Large,Retail
64,AI Product Manager,Patel PLC,"South Jamie, KM",Patel PLC,Startup,E-commerce
65,AI Researcher,"Lopez, Nelson and Meyer","Lake Michelleport, RS","Lopez, Nelson and Meyer",Startup,E-commerce
66,AI Researcher,"Harris, Porter and Walter","Port Kristenmouth, SA","Harris, Porter and Walter",Large,Retail
67,AI Product Manager,Dominguez and Sons,"Rodriguezstad, ET",Dominguez and Sons,Large,Automotive
68,Data Analyst,Griffith-Garner,"Meredithview, LS",Griffith-Garner,Startup,Retail
69,Data Analyst,Smith LLC,"South Tylerhaven, LC",Smith LLC,Mid,Healthcare
70,Data Analyst,Smith-Jones,"South Karenville, BB",Smith-Jones,Mid,Education
71,ML Engineer,"Maddox, Steele and Jones","Billyfort, YE","Maddox, Steele and Jones",Mid,Retail
72,Quant Researcher,Williams PLC,"New Jefferyfort, TG",Williams PLC,Startup,Healthcare
73,Data Analyst,"Hurst, Manning and Wood","Petersenborough, VN","Hurst, Manning and Wood",Large,Education
74,NLP Engineer,"Howard, Carr and Joseph","Leeberg, ME","Howard, Carr and Joseph",Large,Automotive
75,ML Engineer,Lewis-Smith,"North Christopherfurt, LR",Lewis-Smith,Startup,Automotive
76,AI Researcher,Luna and Sons,"Weberland, TL",Luna and Sons,Mid,Automotive
77,AI Researcher,King-Sheppard,"Zamorafurt, UA",King-Sheppard,Startup,E-commerce
78,NLP Engineer,Meyer-Shaffer,"Sharpborough, DM",Meyer-Shaffer,Startup,E-commerce
79,Quant Researcher,"Ellis, Page and Smith","North Carriestad, IR","Ellis, Page and Smith",Startup,Tech
80,ML Engineer,Martinez-Fitzgerald,"South Charles, CI",Martinez-Fitzgerald,Large,Healthcare
81,AI Researcher,Johnson Inc,"Lake Kristen, AZ",Johnson Inc,Large,Education
82,Data Analyst,Camacho PLC,"Anthonyland, GQ",Camacho PLC,Large,Finance
83,AI Product Manager,Sweeney-Griffith,"Michaelchester, MK",Sweeney-Griffith,Mid,Finance
84,Data Analyst,"Stafford, Owens and Thompson","Lake Debra, AM","Stafford, Owens and Thompson",Mid,Education
85,Computer Vision Engineer,"Gonzalez, Watts and Thompson","New Danielburgh, RU","Gonzalez, Watts and Thompson",Startup,E-commerce
86,Data Analyst,Graham Group,"Lake Melissaville, PL",Graham Group,Large,Tech
87,Quant Researcher,Ward-Allen,"Jeffreyburgh, SC",Ward-Allen,Large,Education
88,Quant Researcher,"Garrett, Hernandez and Anderson","Whiteville, SE","Garrett, Hernandez and Anderson",Mid,Finance
89,AI Researcher,Long Inc,"Jacksonmouth, UZ",Long Inc,Startup,Finance
90,AI Researcher,Cummings-Nash,"Adamton, HR",Cummings-Nash,Startup,Finance
91,NLP Engineer,"Sawyer, Donovan and Vargas","Lake Erica, NL","Sawyer, Donovan and Vargas",Mid,Automotive
92,Data Scientist,"Stewart, Gutierrez and Simpson","South Paige, VC","Stewart, Gutierrez and Simpson",Large,Tech
93,NLP Engineer,Jones-Marshall,"Scottberg, MG",Jones-Marshall,Startup,Finance
94,NLP Engineer,Murphy-Rosales,"West Jesse, NG",Murphy-Rosales,Large,Education
95,ML Engineer,Solis-Thornton,"East Autumn, AM",Solis-Thornton,Mid,Healthcare
96,Computer Vision Engineer,Michael Ltd,"Maldonadoville, PL",Michael Ltd,Startup,Healthcare
97,AI Researcher,Alexander and Sons,"Richardside, PY",Alexander and Sons,Startup,Education
98,Computer Vision Engineer,"Travis, Fletcher and Rodriguez","Port Julieburgh, KW","Travis, Fletcher and Rodriguez",Large,Finance
99,Data Analyst,Lozano-Hill,"South Stephanieville, BS",Lozano-Hill,Large,Healthcare
100,Computer Vision Engineer,"Farmer, Leach and Norris","Williamsbury, DO","Farmer, Leach and Norris",Mid,Retail
101,ML Engineer,Price-Nichols,"South Fredview, PL",Price-Nichols,Startup,Healthcare
102,Data Scientist,"Gonzalez, Jackson and Williams","Heatherport, DO","Gonzalez, Jackson and Williams",Large,Retail
103,Quant Researcher,"Dodson, Palmer and Huber","Alejandromouth, CU","Dodson, Palmer and Huber",Mid,Education
104,Data Scientist,Morris-Sanchez,"New James, CR",Morris-Sanchez,Mid,Finance
105,NLP Engineer,Cobb-Lindsey,"West Madison, QA",Cobb-Lindsey,Mid,E-commerce
106,Computer Vision Engineer,Ramirez-Goodwin,"Tanyachester, TW",Ramirez-Goodwin,Mid,Automotive
107,Computer Vision Engineer,Duran PLC,"New David, EG",Duran PLC,Mid,Healthcare
108,AI Product Manager,Kaiser Group,"South Patricktown, NO",Kaiser Group,Large,Tech
