job_id,job_title,company_name,location,posted_date,posted_year,posted_month,posted_quarter,posted_day_of_week,days_since_posted
1,Data Analyst,Foster and Sons,"Tracybury, AR",2025-08-20,2025,8,3,2,111
2,Computer Vision Engineer,"Boyd, Myers and Ramirez","Lake Scott, CU",2024-03-22,2024,3,1,4,627
3,Quant Researcher,King Inc,"East Paige, CM",2025-09-18,2025,9,3,3,82
4,AI Product Manager,"Cooper, Archer and Lynch","Perezview, FI",2024-05-08,2024,5,2,2,580
5,Data Scientist,Hall LLC,"North Desireeland, NE",2025-02-24,2025,2,1,0,288
6,AI Product Manager,Ellis PLC,"South Kevin, TZ",2025-08-07,2025,8,3,3,124
7,Data Analyst,Matthews-Moses,"West Shawn, LR",2024-12-23,2024,12,4,0,351
8,Data Scientist,Mullins Ltd,"Port Hailey, RU",2024-08-14,2024,8,3,2,482
9,ML Engineer,Aguilar PLC,"Butlermouth, GB",2025-09-15,2025,9,3,0,85
10,Computer Vision Engineer,Parks LLC,"Nicoleshire, BA",2025-08-07,2025,8,3,3,124
11,Data Scientist,Vaughan-Ortiz,"New Angelatown, LU",2024-01-10,2024,1,1,2,699
12,ML Engineer,"Johnson, Guzman and Hernandez","Joychester, LT",2024-03-15,2024,3,1,4,634
13,NLP Engineer,Martin and Sons,"South Michael, FM",2023-09-27,2023,9,3,2,804
14,Quant Researcher,Frank-Duarte,"Christianberg, GQ",2024-11-20,2024,11,4,2,384
15,NLP Engineer,Rogers Ltd,"New Katieborough, FJ",2024-07-08,2024,7,3,0,519
16,NLP Engineer,Wright-Evans,"Stephaniechester, LU",2024-04-06,2024,4,2,5,612
17,ML Engineer,Preston Ltd,"South Tim, CZ",2025-05-14,2025,5,2,2,209
18,AI Product Manager,Smith-Moore,"Blevinsburgh, VU",2024-04-29,2024,4,2,0,589
19,Data Scientist,Webb and Sons,"Parkmouth, CA",2024-10-19,2024,10,4,5,416
20,ML Engineer,Gates LLC,"Stevenhaven, BW",2024-08-29,2024,8,3,3,467
21,Quant Researcher,"Whitaker, Walker and Sandoval","Gregorymouth, LV",2024-01-19,2024,1,1,4,690
22,Quant Researcher,Humphrey LLC,"Lake Alexander, RU",2023-12-28,2023,12,4,3,712
23,NLP Engineer,"Adams, Stevenson and Wagner","North Nicholas, SN",2024-11-25,2024,11,4,0,379
24,NLP Engineer,"Thomas, Hurst and Becker","Leeton, MW",2023-12-06,2023,12,4,2,734
25,NLP Engineer,Sherman-Nguyen,"Suzanneview, TW",2025-06-13,2025,6,2,4,179
26,NLP Engineer,Johnson-Keller,"Whitestad, BB",2024-12-20,2024,12,4,4,354
27,Quant Researcher,Le PLC,"Taraburgh, DZ",2025-01-02,2025,1,1,3,341
28,Data Analyst,"Abbott, Nielsen and Young","New Richard, TD",2025-02-28,2025,2,1,4,284
29,Data Analyst,Thomas-Ruiz,"South Donaldton, GE",2025-01-31,2025,1,1,4,312
30,Data Analyst,"Good, Ware and Cruz","North Michael, TT",2024-06-07,2024,6,2,4,550
31,Quant Researcher,Gay PLC,"Port Patriciaport, TG",2024-06-27,2024,6,2,3,530
32,Data Scientist,Kirby-Zuniga,"Danielchester, ID",2023-09-22,2023,9,3,4,809
33,AI Product Manager,"Castillo, Campbell and Robinson","Alexandriaburgh, KN",2024-09-30,2024,9,3,0,435
34,NLP Engineer,Carter LLC,"West Charles, TT",2023-11-25,2023,11,4,5,745
35,Computer Vision Engineer,Hall Group,"North Denise, MC",2024-04-01,2024,4,2,0,617
36,Computer Vision Engineer,Huynh PLC,"Kirbyside, LT",2023-12-25,2023,12,4,0,715
37,AI Researcher,"Smith, Haas and Mendez","Lake John, AU",2024-11-16,2024,11,4,5,388
38,ML Engineer,"Briggs, Shaw and Berry","East Ashleyland, PL",2025-05-14,2025,5,2,2,209
39,Data Scientist,Boyd PLC,"Port Misty, NL",2024-06-10,2024,6,2,0,547
40,Data Analyst,"Sanders, Mejia and Townsend","Deleonchester, HN",2025-06-27,2025,6,2,4,165
41,Quant Researcher,Hernandez Inc,"Nicoleport, BF",2025-02-08,2025,2,1,5,304
42,NLP Engineer,"Parrish, White and Grant","Kimside, BW",2023-11-10,2023,11,4,4,760
43,AI Product Manager,"Carroll, Lucero and Lambert","Simsside, TD",2024-09-05,2024,9,3,3,460
44,Quant Researcher,"Thomas, Waller and Kelly","South Jeremiah, MX",2025-03-11,2025,3,1,1,273
45,Quant Researcher,"Franklin, Wright and Berg","Ramirezmouth, PK",2025-03-16,2025,3,1,6,268
46,ML Engineer,"Coleman, Gray and Roach","New Rachelmouth, IT",2025-02-14,2025,2,1,4,298
47,Data Scientist,Mooney-Decker,"Jennyland, TR",2024-08-04,2024,8,3,6,492
48,Computer Vision Engineer,Wood LLC,"Port Johnville, MA",2025-02-21,2025,2,1,4,291
49,NLP Engineer,Copeland Group,"North Josephshire, YE",2024-03-19,2024,3,1,1,630
50,NLP Engineer,Richards PLC,"Lewismouth, TD",2024-05-07,2024,5,2,1,581
51,AI Product Manager,"Melendez, Williams and Williamson","Steinside, IT",2023-09-27,2023,9,3,2,804
52,Computer Vision Engineer,"Ellis, Crane and Boyle","North Jason, MR",2025-05-30,2025,5,2,4,193
53,Data Scientist,Foley-Moore,"Thomasfort, KG",2025-05-17,2025,5,2,5,206
54,Quant Researcher,Wright and Sons,"Chavezstad, TG",2024-11-09,2024,11,4,5,395
55,Quant Researcher,Williams-Vargas,"Carlland, ME",2024-11-10,2024,11,4,6,394
56,ML Engineer,Hill-Huff,"Jessicamouth, PT",2025-04-23,2025,4,2,2,230
57,Data Analyst,Meyer PLC,"Caitlynmouth, MR",2023-11-16,2023,11,4,3,754
58,ML Engineer,Boyd-Carlson,"Villarrealhaven, KI",2025-02-11,2025,2,1,1,301
59,AI Researcher,Scott-Gardner,"North Laurie, BI",2025-06-21,2025,6,2,5,171
60,AI Product Manager,Jackson Group,"East Juliashire, TR",2023-09-25,2023,9,3,0,806
61,Data Analyst,"Sullivan, Silva and Sawyer","North Jonathan, NL",2024-06-27,2024,6,2,3,530
62,AI Product Manager,"Page, Bonilla and Cohen","Port Jacobchester, SB",2024-05-08,2024,5,2,2,580
63,Computer Vision Engineer,Young-Wright,"Kaylaburgh, NO",2024-10-26,2024,10,4,5,409
64,AI Product Manager,Patel PLC,"South Jamie, KM",2025-02-17,2025,2,1,0,295
65,AI Researcher,"Lopez, Nelson and Meyer","Lake Michelleport, RS",2025-01-06,2025,1,1,0,337
66,AI Researcher,"Harris, Porter and Walter","Port Kristenmouth, SA",2023-12-19,2023,12,4,1,721
67,AI Product Manager,Dominguez and Sons,"Rodriguezstad, ET",2024-04-08,2024,4,2,0,610
68,Data Analyst,Griffith-Garner,"Meredithview, LS",2024-12-21,2024,12,4,5,353
69,Data Analyst,Smith LLC,"South Tylerhaven, LC",2023-12-09,2023,12,4,5,731
70,Data Analyst,Smith-Jones,"South Karenville, BB",2025-06-15,2025,6,2,6,177
71,ML Engineer,"Maddox, Steele and Jones","Billyfort, YE",2025-03-12,2025,3,1,2,272
72,Quant Researcher,Williams PLC,"New Jefferyfort, TG",2024-02-12,2024,2,1,0,666
73,Data Analyst,"Hurst, Manning and Wood","Petersenborough, VN",2025-05-02,2025,5,2,4,221
74,NLP Engineer,"Howard, Carr and Joseph","Leeberg, ME",2023-11-28,2023,11,4,1,742
75,ML Engineer,Lewis-Smith,"North Christopherfurt, LR",2025-09-09,2025,9,3,1,91
76,AI Researcher,Luna and Sons,"Weberland, TL",2023-12-06,2023,12,4,2,734
77,AI Researcher,King-Sheppard,"Zamorafurt, UA",2025-07-03,2025,7,3,3,159
78,NLP Engineer,Meyer-Shaffer,"Sharpborough, DM",2024-02-21,2024,2,1,2,657
79,Quant Researcher,"Ellis, Page and Smith","North Carriestad, IR",2024-10-12,2024,10,4,5,423
80,ML Engineer,Martinez-Fitzgerald,"South Charles, CI",2025-01-20,2025,1,1,0,323
81,AI Researcher,Johnson Inc,"Lake Kristen, AZ",2025-08-03,2025,8,3,6,128
82,Data Analyst,Camacho PLC,"Anthonyland, GQ",2024-01-14,2024,1,1,6,695
83,AI Product Manager,Sweeney-Griffith,"Michaelchester, MK",2025-09-17,2025,9,3,2,83
84,Data Analyst,"Stafford, Owens and Thompson","Lake Debra, AM",2025-04-25,2025,4,2,4,228
85,Computer Vision Engineer,"Gonzalez, Watts and Thompson","New Danielburgh, RU",2024-11-01,2024,11,4,4,403
86,Data Analyst,Graham Group,"Lake Melissaville, PL",2024-03-21,2024,3,1,3,628
87,Quant Researcher,Ward-Allen,"Jeffreyburgh, SC",2024-09-10,2024,9,3,1,455
88,Quant Researcher,"Garrett, Hernandez and Anderson","Whiteville, SE",2023-11-16,2023,11,4,3,754
89,AI Researcher,Long Inc,"Jacksonmouth, UZ",2025-03-23,2025,3,1,6,261
90,AI Researcher,Cummings-Nash,"Adamton, HR",2023-10-17,2023,10,4,1,784
91,NLP Engineer,"Sawyer, Donovan and Vargas","Lake Erica, NL",2023-10-19,2023,10,4,3,782
92,Data Scientist,"Stewart, Gutierrez and Simpson","South Paige, VC",2025-03-21,2025,3,1,4,263
93,NLP Engineer,Jones-Marshall,"Scottberg, MG",2025-08-26,2025,8,3,1,105
94,NLP Engineer,Murphy-Rosales,"West Jesse, NG",2025-07-13,2025,7,3,6,149
95,ML Engineer,Solis-Thornton,"East Autumn, AM",2024-10-10,2024,10,4,3,425
96,Computer Vision Engineer,Michael Ltd,"Maldonadoville, PL",2025-08-09,2025,8,3,5,122
97,AI Researcher,Alexander and Sons,"Richardside, PY",2024-11-15,2024,11,4,4,389
98,Computer Vision Engineer,"Travis, Fletcher and Rodriguez","Port Julieburgh, KW",2023-12-18,2023,12,4,0,722
99,Data Analyst,Lozano-Hill,"South Stephanieville, BS",2024-05-22,2024,5,2,2,566
100,Computer Vision Engineer,"Farmer, Leach and Norris","Williamsbury, DO",2025-09-03,2025,9,3,2,97
101,ML Engineer,Price-Nichols,"South Fredview, PL",2025-07-22,2025,7,3,1,140
102,Data Scientist,"Gonzalez, Jackson and Williams","Heatherport, DO",2025-08-09,2025,8,3,5,122
103,Quant Researcher,"Dodson, Palmer and Huber","Alejandromouth, CU",2025-02-26,2025,2,1,2,286
104,Data Scientist,Morris-Sanchez,"New James, CR",2025-03-21,2025,3,1,4,263
105,NLP Engineer,Cobb-Lindsey,"West Madison, QA",2024-11-19,2024,11,4,1,385
106,Computer Vision Engineer,Ramirez-Goodwin,"Tanyachester, TW",2025-04-04,2025,4,2,4,249
107,Computer Vision Engineer,Duran PLC,"New David, EG",2023-10-03,2023,10,4,1,798
108,AI Product Manager,Kaiser Group,"South Patricktown, NO",2025-03-30,2025,3,1,6,254
109,ML Engineer,Garcia PLC,"Sanfordmouth, GW",2024-02-06,2024,2,1,1,672
110,Quant Researcher,Steele-Norman,"Elainefurt, BS",2024-06-20,2024,6,2,3,537
111,AI Researcher,Garcia Ltd,"Brownstad, LU",2024-09-08,2024,9,3,6,457
112,AI Researcher,Hill LLC,"Lake Christopher, QA",2024-07-24,2024,7,3,2,503
113,NLP Engineer,"Morales, Thomas and Miller","Millermouth, GY",2024-08-28,2024,8,3,2,468
114,Data Scientist,Kelly-Novak,"Nicoleside, AD",2025-05-20,2025,5,2,1,203
115,Quant Researcher,Martin-Hernandez,"North Patrick, KE",2025-06-17,2025,6,2,1,175
116,NLP Engineer,Price-Dean,"Dennistown, IQ",2024-03-17,2024,3,1,6,632
117,Data Analyst,Ruiz Inc,"Rodriguezfurt, LI",2025-05-07,2025,5,2,2,216
