job_id,job_title,company_name,location,experience_level,experience_level_ordinal
1,Data Analyst,Foster and Sons,"Tracybury, AR",Mid,2
2,Computer Vision Engineer,"Boyd, Myers and Ramirez","Lake Scott, CU",Senior,3
3,Quant Researcher,King Inc,"East Paige, CM",Entry,1
4,AI Product Manager,"Cooper, Archer and Lynch","Perezview, FI",Mid,2
5,Data Scientist,Hall LLC,"North Desireeland, NE",Senior,3
6,AI Product Manager,Ellis PLC,"South Kevin, TZ",Senior,3
7,Data Analyst,Matthews-Moses,"West Shawn, LR",Mid,2
8,Data Scientist,Mullins Ltd,"Port Hailey, RU",Entry,1
9,ML Engineer,Aguilar PLC,"Butlermouth, GB",Entry,1
10,Computer Vision Engineer,Parks LLC,"Nicoleshire, BA",Senior,3
11,Data Scientist,Vaughan-Ortiz,"New Angelatown, LU",Entry,1
12,ML Engineer,"Johnson, Guzman and Hernandez","Joychester, LT",Entry,1
13,NLP Engineer,Martin and Sons,"South Michael, FM",Entry,1
14,Quant Researcher,Frank-Duarte,"Christianberg, GQ",Senior,3
15,NLP Engineer,Rogers Ltd,"New Katieborough, FJ",Mid,2
16,NLP Engineer,Wright-Evans,"Stephaniechester, LU",Senior,3
17,ML Engineer,Preston Ltd,"South Tim, CZ",Entry,1
18,AI Product Manager,Smith-Moore,"Blevinsburgh, VU",Entry,1
19,Data Scientist,Webb and Sons,"Parkmouth, CA",Senior,3
20,ML Engineer,Gates LLC,"Stevenhaven, BW",Mid,2
21,Quant Researcher,"Whitaker, Walker and Sandoval","Gregorymouth, LV",Entry,1
22,Quant Researcher,Humphrey LLC,"Lake Alexander, RU",Entry,1
23,NLP Engineer,"Adams, Stevenson and Wagner","North Nicholas, SN",Mid,2
24,NLP Engineer,"Thomas, Hurst and Becker","Leeton, MW",Senior,3
25,NLP Engineer,Sherman-Nguyen,"Suzanneview, TW",Mid,2
26,NLP Engineer,Johnson-Keller,"Whitestad, BB",Mid,2
27,Quant Researcher,Le PLC,"Taraburgh, DZ",Senior,3
28,Data Analyst,"Abbott, Nielsen and Young","New Richard, TD",Entry,1
29,Data Analyst,Thomas-Ruiz,"South Donaldton, GE",Mid,2
30,Data Analyst,"Good, Ware and Cruz","North Michael, TT",Entry,1
31,Quant Researcher,Gay PLC,"Port Patriciaport, TG",Senior,3
32,Data Scientist,Kirby-Zuniga,"Danielchester, ID",Entry,1
33,AI Product Manager,"Castillo, Campbell and Robinson","Alexandriaburgh, KN",Mid,2
34,NLP Engineer,Carter LLC,"West Charles, TT",Senior,3
35,Computer Vision Engineer,Hall Group,"North Denise, MC",Entry,1
36,Computer Vision Engineer,Huynh PLC,"Kirbyside, LT",Mid,2
37,AI Researcher,"Smith, Haas and Mendez","Lake John, AU",Entry,1
38,ML Engineer,"Briggs, Shaw and Berry","East Ashleyland, PL",Mid,2
39,Data Scientist,Boyd PLC,"Port Misty, NL",Senior,3
40,Data Analyst,"Sanders, Mejia and Townsend","Deleonchester, HN",Entry,1
41,Quant Researcher,Hernandez Inc,"Nicoleport, BF",Senior,3
42,NLP Engineer,"Parrish, White and Grant","Kimside, BW",Mid,2
43,AI Product Manager,"Carroll, Lucero and Lambert","Simsside, TD",Entry,1
44,Quant Researcher,"Thomas, Waller and Kelly","South Jeremiah, MX",Entry,1
45,Quant Researcher,"Franklin, Wright and Berg","Ramirezmouth, PK",Mid,2
46,ML Engineer,"Coleman, Gray and Roach","New Rachelmouth, IT",Entry,1
47,Data Scientist,Mooney-Decker,"Jennyland, TR",Mid,2
48,Computer Vision Engineer,Wood LLC,"Port Johnville, MA",Entry,1
49,NLP Engineer,Copeland Group,"North Josephshire, YE",Entry,1
50,NLP Engineer,Richards PLC,"Lewismouth, TD",Mid,2
51,AI Product Manager,"Melendez, Williams and Williamson","Steinside, IT",Entry,1
52,Computer Vision Engineer,"Ellis, Crane and Boyle","North Jason, MR",Entry,1
53,Data Scientist,Foley-Moore,"Thomasfort, KG",Mid,2
54,Quant Researcher,Wright and Sons,"Chavezstad, TG",Mid,2
55,Quant Researcher,Williams-Vargas,"Carlland, ME",Senior,3
56,ML Engineer,Hill-Huff,"Jessicamouth, PT",Senior,3
57,Data Analyst,Meyer PLC,"Caitlynmouth, MR",Entry,1
58,ML Engineer,Boyd-Carlson,"Villarrealhaven, KI",Senior,3
59,AI Researcher,Scott-Gardner,"North Laurie, BI",Senior,3
60,AI Product Manager,Jackson Group,"East Juliashire, TR",Mid,2
61,Data Analyst,"Sullivan, Silva and Sawyer","North Jonathan, NL",Senior,3
62,AI Product Manager,"Page, Bonilla and Cohen","Port Jacobchester, SB",Entry,1
63,Computer Vision Engineer,Young-Wright,"Kaylaburgh, NO",Mid,2
64,AI Product Manager,Patel PLC,"South Jamie, KM",Entry,1
65,AI Researcher,"Lopez, Nelson and Meyer","Lake Michelleport, RS",Entry,1
66,AI Researcher,"Harris, Porter and Walter","Port Kristenmouth, SA",Mid,2
67,AI Product Manager,Dominguez and Sons,"Rodriguezstad, ET",Senior,3
68,Data Analyst,Griffith-Garner,"Meredithview, LS",Senior,3
69,Data Analyst,Smith LLC,"South Tylerhaven, LC",Mid,2
70,Data Analyst,Smith-Jones,"South Karenville, BB",Mid,2
71,ML Engineer,"Maddox, Steele and Jones","Billyfort, YE",Entry,1
72,Quant Researcher,Williams PLC,"New Jefferyfort, TG",Senior,3
73,Data Analyst,"Hurst, Manning and Wood","Petersenborough, VN",Senior,3
74,NLP Engineer,"Howard, Carr and Joseph","Leeberg, ME",Mid,2
75,ML Engineer,Lewis-Smith,"North Christopherfurt, LR",Senior,3
76,AI Researcher,Luna and Sons,"Weberland, TL",Mid,2
77,AI Researcher,King-Sheppard,"Zamorafurt, UA",Mid,2
78,NLP Engineer,Meyer-Shaffer,"Sharpborough, DM",Mid,2
79,Quant Researcher,"Ellis, Page and Smith","North Carriestad, IR",Entry,1
80,ML Engineer,Martinez-Fitzgerald,"South Charles, CI",Senior,3
81,AI Researcher,Johnson Inc,"Lake Kristen, AZ",Mid,2
82,Data Analyst,Camacho PLC,"Anthonyland, GQ",Entry,1
83,AI Product Manager,Sweeney-Griffith,"Michaelchester, MK",Entry,1
84,Data Analyst,"Stafford, Owens and Thompson","Lake Debra, AM",Entry,1
85,Computer Vision Engineer,"Gonzalez, Watts and Thompson","New Danielburgh, RU",Mid,2
86,Data Analyst,Graham Group,"Lake Melissaville, PL",Senior,3
87,Quant Researcher,Ward-Allen,"Jeffreyburgh, SC",Mid,2
88,Quant Researcher,"Garrett, Hernandez and Anderson","Whiteville, SE",Mid,2
89,AI Researcher,Long Inc,"Jacksonmouth, UZ",Entry,1
90,AI Researcher,Cummings-Nash,"Adamton, HR",Entry,1
91,NLP Engineer,"Sawyer, Donovan and Vargas","Lake Erica, NL",Mid,2
92,Data Scientist,"Stewart, Gutierrez and Simpson","South Paige, VC",Entry,1
93,NLP Engineer,Jones-Marshall,"Scottberg, MG",Entry,1
94,NLP Engineer,Murphy-Rosales,"West Jesse, NG",Mid,2
95,ML Engineer,Solis-Thornton,"East Autumn, AM",Entry,1
96,Computer Vision Engineer,Michael Ltd,"Maldonadoville, PL",Senior,3
97,AI Researcher,Alexander and Sons,"Richardside, PY",Senior,3
98,Computer Vision Engineer,"Travis, Fletcher and Rodriguez","Port Julieburgh, KW",Mid,2
99,Data Analyst,Lozano-Hill,"South Stephanieville, BS",Entry,1
100,Computer Vision Engineer,"Farmer, Leach and Norris","Williamsbury, DO",Mid,2
101,ML Engineer,Price-Nichols,"South Fredview, PL",Entry,1
102,Data Scientist,"Gonzalez, Jackson and Williams","Heatherport, DO",Senior,3
103,Quant Researcher,"Dodson, Palmer and Huber","Alejandromouth, CU",Entry,1
104,Data Scientist,Morris-Sanchez,"New James, CR",Senior,3
105,NLP Engineer,Cobb-Lindsey,"West Madison, QA",Entry,1
106,Computer Vision Engineer,Ramirez-Goodwin,"Tanyachester, TW",Mid,2
107,Computer Vision Engineer,Duran PLC,"New David, EG",Senior,3
108,AI Product Manager,Kaiser Group,"South Patricktown, NO",Senior,3
109,ML Engineer,Garcia PLC,"Sanfordmouth, GW",Mid,2
110,Quant Researcher,Steele-Norman,"Elainefurt, BS",Mid,2
111,AI Researcher,Garcia Ltd,"Brownstad, LU",Entry,1
112,AI Researcher,Hill LLC,"Lake Christopher, QA",Mid,2
113,NLP Engineer,"Morales, Thomas and Miller","Millermouth, GY",Mid,2
114,Data Scientist,Kelly-Novak,"Nicoleside, AD",Entry,1
115,Quant Researcher,Martin-Hernandez,"North Patrick, KE",Senior,3
116,NLP Engineer,Price-Dean,"Dennistown, IQ",Entry,1
117,Data Analyst,Ruiz Inc,"Rodriguezfurt, LI",Entry,1
118,Data Analyst,"Hudson, Burton and Campbell","Sullivanburgh, BJ",Mid,2
119,NLP Engineer,Roberson Inc,"New Justin, ZW",Mid,2
120,NLP Engineer,Gutierrez PLC,"West Fredside, PW",Entry,1
121,AI Researcher,"King, Chambers and Brown","Eriktown, GT",Mid,2
122,AI Researcher,Shannon LLC,"Port Robert, TR",Entry,1
123,Computer Vision Engineer,Thompson-Norris,"Davidfort, CU",Senior,3
124,Quant Researcher,Davis and Sons,"Carrollland, SE",Mid,2
125,NLP Engineer,"Reed, Garcia and French","West Richardborough, BE",Mid,2
126,Computer Vision Engineer,Anderson-Cruz,"Jasonshire, TH",Mid,2
127,Quant Researcher,King PLC,"East Sheriton, SV",Mid,2
128,AI Product Manager,Baker-Gomez,"Sarahview, SE",Entry,1
129,NLP Engineer,"Patterson, Bruce and Herring","Davechester, LR",Mid,2
130,Data Analyst,Jackson Inc,"Allenton, UG",Senior,3
131,NLP Engineer,"Thompson, Lewis and Gonzalez","Westland, KM",Entry,1
132,NLP Engineer,Mclean Inc,"Shermanshire, MM",Mid,2
133,AI Researcher,Moore Inc,"Jamesborough, GB",Senior,3
134,AI Researcher,Flores-Dalton,"East Edward, MV",Senior,3
135,Data Analyst,Nguyen and Sons,"Youngborough, CF",Entry,1
136,NLP Engineer,Russell Inc,"Morrowview, RS",Senior,3
137,Computer Vision Engineer,Castillo and Sons,"North Sheilamouth, JP",Mid,2
138,AI Product Manager,Price PLC,"Randallside, CZ",Senior,3
139,AI Product Manager,"Payne, Vasquez and Arnold","Danielfurt, GW",Mid,2
140,Data Analyst,Roth LLC,"Royville, BG",Senior,3
141,Quant Researcher,Bryant and Sons,"Port Allisonfurt, SN",Entry,1
142,ML Engineer,"Morris, Williams and Campbell","South Heatherside, KZ",Mid,2
143,AI Product Manager,Perez Ltd,"West Susan, NG",Entry,1
144,Data Scientist,Smith-Hernandez,"Shelbyberg, AO",Mid,2
145,Data Analyst,"Barber, Green and Fernandez","Ryanberg, MD",Entry,1
146,ML Engineer,"Baker, Nichols and Chen","West Carloston, CO",Entry,1
147,AI Researcher,Crawford-Cooper,"Calderonfurt, KN",Entry,1
148,NLP Engineer,"Manning, Hernandez and Serrano","New Crystalport, BF",Mid,2
149,Data Analyst,Sanchez and Sons,"North Melissa, NL",Senior,3
150,Computer Vision Engineer,Gomez-Mosley,"East James, CR",Senior,3
151,AI Researcher,"Knox, Kirby and Rogers","Cynthiamouth, SC",Mid,2
152,ML Engineer,Johnson-Hansen,"New Christopher, KG",Mid,2
153,AI Product Manager,Allen-Carr,"West Jamesborough, BT",Mid,2
154,AI Researcher,Carroll-Peterson,"Lake Amanda, PG",Mid,2
155,NLP Engineer,Castillo and Sons,"New Monicaborough, KH",Mid,2
156,Data Analyst,Dixon-Fields,"New Christinastad, GY",Senior,3
157,Computer Vision Engineer,Ashley-Espinoza,"Elizabethchester, KZ",Senior,3
158,NLP Engineer,"Scott, Nelson and Cooke","Hayesberg, AG",Senior,3
159,Quant Researcher,Wright-Pennington,"Bentonland, BG",Mid,2
160,Data Analyst,Garcia-Martinez,"Michaeltown, UY",Mid,2
161,Quant Researcher,Ryan-Ward,"Hernandezfurt, MX",Mid,2
162,NLP Engineer,"Ross, Torres and Griffith","Jessicamouth, PS",Senior,3
163,ML Engineer,"Contreras, Taylor and Nelson","North Danielfort, LC",Mid,2
164,NLP Engineer,French Inc,"East Ritaburgh, AM",Entry,1
165,AI Product Manager,"Roth, Le and Hamilton","Lake Eriktown, TZ",Mid,2
166,Computer Vision Engineer,"Boyd, Gallagher and Thompson","Brandonton, RO",Senior,3
167,Computer Vision Engineer,Benjamin-Nguyen,"Barryborough, JM",Senior,3
168,Data Analyst,Coleman-Jimenez,"West Alexanderberg, MG",Entry,1
169,Data Analyst,Williams-Gross,"Ericport, BR",Entry,1
170,ML Engineer,Gonzalez Ltd,"Johnsonmouth, BS",Mid,2
171,AI Product Manager,Hart-Miller,"South Gary, BN",Senior,3
172,AI Researcher,Kim Inc,"West Ralphview, SL",Mid,2
173,Data Scientist,Horton LLC,"Debraview, HU",Entry,1
