job_id,job_title,company_name,location,salary_range_usd,salary_min,salary_max,salary_avg,salary_cluster
1,Data Analyst,Foster and Sons,"Tracybury, AR",92860-109598,92860,109598,101229.0,100-120K
2,Computer Vision Engineer,"Boyd, Myers and Ramirez","Lake Scott, CU",78523-144875,78523,144875,111699.0,100-120K
3,Quant Researcher,King Inc,"East Paige, CM",124496-217204,124496,217204,170850.0,150-200K
4,AI Product Manager,"Cooper, Archer and Lynch","Perezview, FI",50908-123743,50908,123743,87325.5,80-100K
5,Data Scientist,Hall LLC,"North Desireeland, NE",98694-135413,98694,135413,117053.5,100-120K
6,AI Product Manager,Ellis PLC,"South Kevin, TZ",92632-180718,92632,180718,136675.0,120-150K
7,Data Analyst,Matthews-Moses,"West Shawn, LR",70575-88594,70575,88594,79584.5,60-80K
8,Data Scientist,Mullins Ltd,"Port Hailey, RU",63032-82144,63032,82144,72588.0,60-80K
9,ML Engineer,Aguilar PLC,"Butlermouth, GB",134239-188504,134239,188504,161371.5,150-200K
10,Computer Vision Engineer,Parks LLC,"Nicoleshire, BA",79361-165029,79361,165029,122195.0,120-150K
11,Data Scientist,Vaughan-Ortiz,"New Angelatown, LU",99964-125971,99964,125971,112967.5,100-120K
12,ML Engineer,"Johnson, Guzman and Hernandez","Joychester, LT",63583-132670,63583,132670,98126.5,80-100K
13,NLP Engineer,Martin and Sons,"South Michael, FM",102770-117026,102770,117026,109898.0,100-120K
14,Quant Researcher,Frank-Duarte,"Christianberg, GQ",137004-193975,137004,193975,165489.5,150-200K
15,NLP Engineer,Rogers Ltd,"New Katieborough, FJ",129842-216741,129842,216741,173291.5,150-200K
16,NLP Engineer,Wright-Evans,"Stephaniechester, LU",124669-217866,124669,217866,171267.5,150-200K
17,ML Engineer,Preston Ltd,"South Tim, CZ",137523-180097,137523,180097,158810.0,150-200K
18,AI Product Manager,Smith-Moore,"Blevinsburgh, VU",138184-192857,138184,192857,165520.5,150-200K
19,Data Scientist,Webb and Sons,"Parkmouth, CA",100845-159745,100845,159745,130295.0,120-150K
20,ML Engineer,Gates LLC,"Stevenhaven, BW",115578-207180,115578,207180,161379.0,150-200K
21,Quant Researcher,"Whitaker, Walker and Sandoval","Gregorymouth, LV",122521-175168,122521,175168,148844.5,120-150K
22,Quant Researcher,Humphrey LLC,"Lake Alexander, RU",62483-105216,62483,105216,83849.5,80-100K
23,NLP Engineer,"Adams, Stevenson and Wagner","North Nicholas, SN",74317-148899,74317,148899,111608.0,100-120K
24,NLP Engineer,"Thomas, Hurst and Becker","Leeton, MW",68115-125323,68115,125323,96719.0,80-100K
25,NLP Engineer,Sherman-Nguyen,"Suzanneview, TW",89840-109693,89840,109693,99766.5,80-100K
26,NLP Engineer,Johnson-Keller,"Whitestad, BB",107786-126713,107786,126713,117249.5,100-120K
27,Quant Researcher,Le PLC,"Taraburgh, DZ",44309-77284,44309,77284,60796.5,60-80K
