job_id,job_title,company_name,location,skills_required,skills_count,has_programming_lang,has_cloud_platform,has_ml_framework,skill_tensorflow,skill_excel,skill_pandas,skill_fastapi,skill_numpy,skill_reinforcement_learning,skill_azure,skill_sql,skill_hugging_face,skill_keras,skill_power_bi,skill_aws,skill_gcp,skill_python,skill_langchain,skill_pytorch,skill_scikit-learn,skill_flask,skill_cuda,skill_r
1,Data Analyst,Foster and Sons,"Tracybury, AR","NumPy, Reinforcement Learning, PyTorch, Scikit-learn, GCP, FastAPI",6,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
2,Computer Vision Engineer,"Boyd, Myers and Ramirez","Lake Scott, CU","Scikit-learn, CUDA, SQL, Pandas",4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
3,Quant Researcher,King Inc,"East Paige, CM","MLflow, FastAPI, Azure, PyTorch, SQL, GCP",6,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
4,AI Product Manager,"Cooper, Archer and Lynch","Perezview, FI","Scikit-learn, C++, Pandas, LangChain, AWS, R",6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
5,Data Scientist,Hall LLC,"North Desireeland, NE","Excel, Keras, SQL, Hugging Face",4,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
6,AI Product Manager,Ellis PLC,"South Kevin, TZ","GCP, Excel, Scikit-learn, MLflow",4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
7,Data Analyst,Matthews-Moses,"West Shawn, LR","Python, Flask, Scikit-learn, GCP",4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
8,Data Scientist,Mullins Ltd,"Port Hailey, RU","Excel, SQL, Flask",3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,ML Engineer,Aguilar PLC,"Butlermouth, GB","Pandas, LangChain, GCP, Azure",4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
10,Computer Vision Engineer,Parks LLC,"Nicoleshire, BA","Excel, Reinforcement Learning, TensorFlow",3,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Data Scientist,Vaughan-Ortiz,"New Angelatown, LU","Keras, MLflow, Reinforcement Learning",3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12,ML Engineer,"Johnson, Guzman and Hernandez","Joychester, LT","Excel, Reinforcement Learning, Keras, Scikit-learn",4,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
13,NLP Engineer,Martin and Sons,"South Michael, FM","C++, Hugging Face, Python, FastAPI",4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
14,Quant Researcher,Frank-Duarte,"Christianberg, GQ","Excel, MLflow, NumPy, Hugging Face, LangChain, FastAPI",6,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
15,NLP Engineer,Rogers Ltd,"New Katieborough, FJ","Pandas, CUDA, NumPy, FastAPI",4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,NLP Engineer,Wright-Evans,"Stephaniechester, LU","Hugging Face, Scikit-learn, Reinforcement Learning",3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
17,ML Engineer,Preston Ltd,"South Tim, CZ","MLflow, R, C++",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,AI Product Manager,Smith-Moore,"Blevinsburgh, VU","Excel, MLflow, Hugging Face, Flask, Power BI",5,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
19,Data Scientist,Webb and Sons,"Parkmouth, CA","AWS, Azure, Power BI, CUDA, Reinforcement Learning, Hugging Face",6,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1
20,ML Engineer,Gates LLC,"Stevenhaven, BW","R, CUDA, Power BI, AWS",4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
21,Quant Researcher,"Whitaker, Walker and Sandoval","Gregorymouth, LV","C++, Power BI, R, SQL, Keras, Azure",6,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
22,Quant Researcher,Humphrey LLC,"Lake Alexander, RU","LangChain, NumPy, CUDA, C++, MLflow, R",6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
23,NLP Engineer,"Adams, Stevenson and Wagner","North Nicholas, SN","CUDA, FastAPI, Scikit-learn, MLflow, Hugging Face",5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
24,NLP Engineer,"Thomas, Hurst and Becker","Leeton, MW","PyTorch, CUDA, Hugging Face, Flask, C++",5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
25,NLP Engineer,Sherman-Nguyen,"Suzanneview, TW","Python, Reinforcement Learning, MLflow",3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,NLP Engineer,Johnson-Keller,"Whitestad, BB","PyTorch, Reinforcement Learning, FastAPI, Power BI, Python, R",6,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
27,Quant Researcher,Le PLC,"Taraburgh, DZ","Azure, Flask, FastAPI, Hugging Face, Power BI, Python",6,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1
28,Data Analyst,"Abbott, Nielsen and Young","New Richard, TD","R, Python, Pandas",3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
29,Data Analyst,Thomas-Ruiz,"South Donaldton, GE","Flask, Hugging Face, Pandas, Python, Scikit-learn, Keras",6,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1
30,Data Analyst,"Good, Ware and Cruz","North Michael, TT","Scikit-learn, SQL, Azure",3,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
31,Quant Researcher,Gay PLC,"Port Patriciaport, TG","Keras, Excel, TensorFlow",3,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32,Data Scientist,Kirby-Zuniga,"Danielchester, ID","Hugging Face, Scikit-learn, C++, Excel, Azure",5,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
33,AI Product Manager,"Castillo, Campbell and Robinson","Alexandriaburgh, KN","Keras, PyTorch, AWS, FastAPI, CUDA",5,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
34,NLP Engineer,Carter LLC,"West Charles, TT","MLflow, Keras, SQL, GCP, Power BI",5,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1
35,Computer Vision Engineer,Hall Group,"North Denise, MC","GCP, C++, Excel",3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,Computer Vision Engineer,Huynh PLC,"Kirbyside, LT","PyTorch, LangChain, R",3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
