job_id,job_title,company_name,location,tools_preferred,tools_count,tool_mlflow,tool_langchain,tool_fastapi,tool_kdbplus,tool_bigquery,tool_tensorflow,tool_pytorch,tool_scikit-learn
1,Data Analyst,Foster and Sons,"Tracybury, AR","KDB+, LangChain",2,0,1,0,1,0,0,0,0
2,Computer Vision Engineer,"Boyd, Myers and Ramirez","Lake Scott, CU","FastAPI, KDB+, TensorFlow",3,0,0,1,1,0,1,0,0
3,Quant Researcher,King Inc,"East Paige, CM","BigQuery, PyTorch, Scikit-learn",3,0,0,0,0,1,0,1,1
4,AI Product Manager,"Cooper, Archer and Lynch","Perezview, FI","TensorFlow, BigQuery, MLflow",3,1,0,0,0,1,1,0,0
5,Data Scientist,Hall LLC,"North Desireeland, NE","PyTorch, LangChain",2,0,1,0,0,0,0,1,0
6,AI Product Manager,Ellis PLC,"South Kevin, TZ","PyTorch, TensorFlow, FastAPI",3,0,0,1,0,0,1,1,0
7,Data Analyst,Matthews-Moses,"West Shawn, LR","PyTorch, MLflow",2,1,0,0,0,0,0,1,0
8,Data Scientist,Mullins Ltd,"Port Hailey, RU",BigQuery,1,0,0,0,0,1,0,0,0
9,ML Engineer,Aguilar PLC,"Butlermouth, GB","Scikit-learn, LangChain, BigQuery",3,0,1,0,0,1,0,0,1
10,Computer Vision Engineer,Parks LLC,"Nicoleshire, BA","MLflow, TensorFlow",2,1,0,0,0,0,1,0,0
11,Data Scientist,Vaughan-Ortiz,"New Angelatown, LU","LangChain, BigQuery, Scikit-learn",3,0,1,0,0,1,0,0,1
12,ML Engineer,"Johnson, Guzman and Hernandez","Joychester, LT","TensorFlow, PyTorch, BigQuery",3,0,0,0,0,1,1,1,0
13,NLP Engineer,Martin and Sons,"South Michael, FM",LangChain,1,0,1,0,0,0,0,0,0
14,Quant Researcher,Frank-Duarte,"Christianberg, GQ","LangChain, TensorFlow, Scikit-learn",3,0,1,0,0,0,1,0,1
15,NLP Engineer,Rogers Ltd,"New Katieborough, FJ",FastAPI,1,0,0,1,0,0,0,0,0
16,NLP Engineer,Wright-Evans,"Stephaniechester, LU",TensorFlow,1,0,0,0,0,0,1,0,0
17,ML Engineer,Preston Ltd,"South Tim, CZ",LangChain,1,0,1,0,0,0,0,0,0
18,AI Product Manager,Smith-Moore,"Blevinsburgh, VU",BigQuery,1,0,0,0,0,1,0,0,0
19,Data Scientist,Webb and Sons,"Parkmouth, CA","BigQuery, FastAPI, KDB+",3,0,0,1,1,1,0,0,0
20,ML Engineer,Gates LLC,"Stevenhaven, BW",MLflow,1,1,0,0,0,0,0,0,0
21,Quant Researcher,"Whitaker, Walker and Sandoval","Gregorymouth, LV","Scikit-learn, BigQuery, PyTorch",3,0,0,0,0,1,0,1,1
22,Quant Researcher,Humphrey LLC,"Lake Alexander, RU","PyTorch, LangChain",2,0,1,0,0,0,0,1,0
23,NLP Engineer,"Adams, Stevenson and Wagner","North Nicholas, SN","PyTorch, Scikit-learn, KDB+",3,0,0,0,1,0,0,1,1
24,NLP Engineer,"Thomas, Hurst and Becker","Leeton, MW",Scikit-learn,1,0,0,0,0,0,0,0,1
25,NLP Engineer,Sherman-Nguyen,"Suzanneview, TW",FastAPI,1,0,0,1,0,0,0,0,0
26,NLP Engineer,Johnson-Keller,"Whitestad, BB","FastAPI, PyTorch, KDB+",3,0,0,1,1,0,0,1,0
27,Quant Researcher,Le PLC,"Taraburgh, DZ","TensorFlow, Scikit-learn, FastAPI",3,0,0,1,0,0,1,0,1
28,Data Analyst,"Abbott, Nielsen and Young","New Richard, TD","PyTorch, MLflow",2,1,0,0,0,0,0,1,0
29,Data Analyst,Thomas-Ruiz,"South Donaldton, GE","Scikit-learn, FastAPI, LangChain",3,0,1,1,0,0,0,0,1
30,Data Analyst,"Good, Ware and Cruz","North Michael, TT",TensorFlow,1,0,0,0,0,0,1,0,0
31,Quant Researcher,Gay PLC,"Port Patriciaport, TG","KDB+, PyTorch",2,0,0,0,1,0,0,1,0
32,Data Scientist,Kirby-Zuniga,"Danielchester, ID","LangChain, KDB+",2,0,1,0,1,0,0,0,0
33,AI Product Manager,"Castillo, Campbell and Robinson","Alexandriaburgh, KN","TensorFlow, Scikit-learn",2,0,0,0,0,0,1,0,1
34,NLP Engineer,Carter LLC,"West Charles, TT",PyTorch,1,0,0,0,0,0,0,1,0
35,Computer Vision Engineer,Hall Group,"North Denise, MC","TensorFlow, Scikit-learn",2,0,0,0,0,0,1,0,1
36,Computer Vision Engineer,Huynh PLC,"Kirbyside, LT","Scikit-learn, FastAPI, MLflow",3,1,0,1,0,0,0,0,1
37,AI Researcher,"Smith, Haas and Mendez","Lake John, AU","Scikit-learn, LangChain, KDB+",3,0,1,0,1,0,0,0,1
38,ML Engineer,"Briggs, Shaw and Berry","East Ashleyland, PL",MLflow,1,1,0,0,0,0,0,0,0
39,Data Scientist,Boyd PLC,"Port Misty, NL",LangChain,1,0,1,0,0,0,0,0,0
40,Data Analyst,"Sanders, Mejia and Townsend","Deleonchester, HN","FastAPI, Scikit-learn, LangChain",3,0,1,1,0,0,0,0,1
41,Quant Researcher,Hernandez Inc,"Nicoleport, BF","Scikit-learn, TensorFlow, BigQuery",3,0,0,0,0,1,1,0,1
42,NLP Engineer,"Parrish, White and Grant","Kimside, BW",TensorFlow,1,0,0,0,0,0,1,0,0
43,AI Product Manager,"Carroll, Lucero and Lambert","Simsside, TD","PyTorch, TensorFlow, FastAPI",3,0,0,1,0,0,1,1,0
44,Quant Researcher,"Thomas, Waller and Kelly","South Jeremiah, MX","TensorFlow, LangChain, PyTorch",3,0,1,0,0,0,1,1,0
45,Quant Researcher,"Franklin, Wright and Berg","Ramirezmouth, PK",KDB+,1,0,0,0,1,0,0,0,0
46,ML Engineer,"Coleman, Gray and Roach","New Rachelmouth, IT","FastAPI, MLflow, TensorFlow",3,1,0,1,0,0,1,0,0
47,Data Scientist,Mooney-Decker,"Jennyland, TR","PyTorch, BigQuery",2,0,0,0,0,1,0,1,0
48,Computer Vision Engineer,Wood LLC,"Port Johnville, MA","MLflow, BigQuery, LangChain",3,1,1,0,0,1,0,0,0
49,NLP Engineer,Copeland Group,"North Josephshire, YE","KDB+, PyTorch, MLflow",3,1,0,0,1,0,0,1,0
50,NLP Engineer,Richards PLC,"Lewismouth, TD","FastAPI, KDB+, Scikit-learn",3,0,0,1,1,0,0,0,1
51,AI Product Manager,"Melendez, Williams and Williamson","Steinside, IT",BigQuery,1,0,0,0,0,1,0,0,0
52,Computer Vision Engineer,"Ellis, Crane and Boyle","North Jason, MR","LangChain, KDB+, FastAPI",3,0,1,1,1,0,0,0,0
53,Data Scientist,Foley-Moore,"Thomasfort, KG",MLflow,1,1,0,0,0,0,0,0,0
54,Quant Researcher,Wright and Sons,"Chavezstad, TG","LangChain, BigQuery, MLflow",3,1,1,0,0,1,0,0,0
55,Quant Researcher,Williams-Vargas,"Carlland, ME","FastAPI, TensorFlow, BigQuery",3,0,0,1,0,1,1,0,0
56,ML Engineer,Hill-Huff,"Jessicamouth, PT","BigQuery, PyTorch, TensorFlow",3,0,0,0,0,1,1,1,0
57,Data Analyst,Meyer PLC,"Caitlynmouth, MR","LangChain, Scikit-learn, PyTorch",3,0,1,0,0,0,0,1,1
58,ML Engineer,Boyd-Carlson,"Villarrealhaven, KI","MLflow, LangChain",2,1,1,0,0,0,0,0,0
59,AI Researcher,Scott-Gardner,"North Laurie, BI","FastAPI, PyTorch, LangChain",3,0,1,1,0,0,0,1,0
60,AI Product Manager,Jackson Group,"East Juliashire, TR",BigQuery,1,0,0,0,0,1,0,0,0
61,Data Analyst,"Sullivan, Silva and Sawyer","North Jonathan, NL",MLflow,1,1,0,0,0,0,0,0,0
62,AI Product Manager,"Page, Bonilla and Cohen","Port Jacobchester, SB",LangChain,1,0,1,0,0,0,0,0,0
63,Computer Vision Engineer,Young-Wright,"Kaylaburgh, NO","TensorFlow, LangChain",2,0,1,0,0,0,1,0,0
64,AI Product Manager,Patel PLC,"South Jamie, KM",FastAPI,1,0,0,1,0,0,0,0,0
65,AI Researcher,"Lopez, Nelson and Meyer","Lake Michelleport, RS","PyTorch, TensorFlow, FastAPI",3,0,0,1,0,0,1,1,0
66,AI Researcher,"Harris, Porter and Walter","Port Kristenmouth, SA","FastAPI, KDB+",2,0,0,1,1,0,0,0,0
67,AI Product Manager,Dominguez and Sons,"Rodriguezstad, ET","BigQuery, KDB+",2,0,0,0,1,1,0,0,0
68,Data Analyst,Griffith-Garner,"Meredithview, LS",PyTorch,1,0,0,0,0,0,0,1,0
69,Data Analyst,Smith LLC,"South Tylerhaven, LC","LangChain, PyTorch, MLflow",3,1,1,0,0,0,0,1,0
70,Data Analyst,Smith-Jones,"South Karenville, BB",BigQuery,1,0,0,0,0,1,0,0,0
71,ML Engineer,"Maddox, Steele and Jones","Billyfort, YE","FastAPI, PyTorch",2,0,0,1,0,0,0,1,0
72,Quant Researcher,Williams PLC,"New Jefferyfort, TG","FastAPI, LangChain",2,0,1,1,0,0,0,0,0
73,Data Analyst,"Hurst, Manning and Wood","Petersenborough, VN","PyTorch, BigQuery, Scikit-learn",3,0,0,0,0,1,0,1,1
74,NLP Engineer,"Howard, Carr and Joseph","Leeberg, ME","MLflow, PyTorch",2,1,0,0,0,0,0,1,0
75,ML Engineer,Lewis-Smith,"North Christopherfurt, LR",KDB+,1,0,0,0,1,0,0,0,0
76,AI Researcher,Luna and Sons,"Weberland, TL","FastAPI, TensorFlow, PyTorch",3,0,0,1,0,0,1,1,0
77,AI Researcher,King-Sheppard,"Zamorafurt, UA",PyTorch,1,0,0,0,0,0,0,1,0
78,NLP Engineer,Meyer-Shaffer,"Sharpborough, DM","LangChain, PyTorch, Scikit-learn",3,0,1,0,0,0,0,1,1
79,Quant Researcher,"Ellis, Page and Smith","North Carriestad, IR",LangChain,1,0,1,0,0,0,0,0,0
80,ML Engineer,Martinez-Fitzgerald,"South Charles, CI",KDB+,1,0,0,0,1,0,0,0,0
81,AI Researcher,Johnson Inc,"Lake Kristen, AZ","Scikit-learn, MLflow, PyTorch",3,1,0,0,0,0,0,1,1
82,Data Analyst,Camacho PLC,"Anthonyland, GQ","PyTorch, Scikit-learn, BigQuery",3,0,0,0,0,1,0,1,1
83,AI Product Manager,Sweeney-Griffith,"Michaelchester, MK",MLflow,1,1,0,0,0,0,0,0,0
84,Data Analyst,"Stafford, Owens and Thompson","Lake Debra, AM","MLflow, LangChain, KDB+",3,1,1,0,1,0,0,0,0
85,Computer Vision Engineer,"Gonzalez, Watts and Thompson","New Danielburgh, RU","FastAPI, LangChain",2,0,1,1,0,0,0,0,0
86,Data Analyst,Graham Group,"Lake Melissaville, PL","BigQuery, Scikit-learn, MLflow",3,1,0,0,0,1,0,0,1
87,Quant Researcher,Ward-Allen,"Jeffreyburgh, SC","LangChain, BigQuery",2,0,1,0,0,1,0,0,0
88,Quant Researcher,"Garrett, Hernandez and Anderson","Whiteville, SE","LangChain, MLflow",2,1,1,0,0,0,0,0,0
89,AI Researcher,Long Inc,"Jacksonmouth, UZ","FastAPI, LangChain, BigQuery",3,0,1,1,0,1,0,0,0
90,AI Researcher,Cummings-Nash,"Adamton, HR","KDB+, LangChain",2,0,1,0,1,0,0,0,0
91,NLP Engineer,"Sawyer, Donovan and Vargas","Lake Erica, NL","BigQuery, KDB+, LangChain",3,0,1,0,1,1,0,0,0
92,Data Scientist,"Stewart, Gutierrez and Simpson","South Paige, VC","LangChain, FastAPI, Scikit-learn",3,0,1,1,0,0,0,0,1
93,NLP Engineer,Jones-Marshall,"Scottberg, MG","MLflow, FastAPI, TensorFlow",3,1,0,1,0,0,1,0,0
94,NLP Engineer,Murphy-Rosales,"West Jesse, NG","LangChain, BigQuery",2,0,1,0,0,1,0,0,0
95,ML Engineer,Solis-Thornton,"East Autumn, AM","LangChain, BigQuery",2,0,1,0,0,1,0,0,0
96,Computer Vision Engineer,Michael Ltd,"Maldonadoville, PL",LangChain,1,0,1,0,0,0,0,0,0
97,AI Researcher,Alexander and Sons,"Richardside, PY","LangChain, FastAPI",2,0,1,1,0,0,0,0,0
98,Computer Vision Engineer,"Travis, Fletcher and Rodriguez","Port Julieburgh, KW","FastAPI, KDB+, LangChain",3,0,1,1,1,0,0,0,0
99,Data Analyst,Lozano-Hill,"South Stephanieville, BS","TensorFlow, BigQuery",2,0,0,0,0,1,1,0,0
100,Computer Vision Engineer,"Farmer, Leach and Norris","Williamsbury, DO",TensorFlow,1,0,0,0,0,0,1,0,0
101,ML Engineer,Price-Nichols,"South Fredview, PL",TensorFlow,1,0,0,0,0,0,1,0,0
102,Data Scientist,"Gonzalez, Jackson and Williams","Heatherport, DO","KDB+, BigQuery, MLflow",3,1,0,0,1,1,0,0,0
103,Quant Researcher,"Dodson, Palmer and Huber","Alejandromouth, CU",KDB+,1,0,0,0,1,0,0,0,0
104,Data Scientist,Morris-Sanchez,"New James, CR",TensorFlow,1,0,0,0,0,0,1,0,0
105,NLP Engineer,Cobb-Lindsey,"West Madison, QA","LangChain, Scikit-learn",2,0,1,0,0,0,0,0,1
106,Computer Vision Engineer,Ramirez-Goodwin,"Tanyachester, TW","KDB+, MLflow",2,1,0,0,1,0,0,0,0
107,Computer Vision Engineer,Duran PLC,"New David, EG","BigQuery, FastAPI",2,0,0,1,0,1,0,0,0
108,AI Product Manager,Kaiser Group,"South Patricktown, NO","TensorFlow, Scikit-learn, MLflow",3,1,0,0,0,0,1,0,1
109,ML Engineer,Garcia PLC,"Sanfordmouth, GW",BigQuery,1,0,0,0,0,1,0,0,0
110,Quant Researcher,Steele-Norman,"Elainefurt, BS",Scikit-learn,1,0,0,0,0,0,0,0,1
111,AI Researcher,Garcia Ltd,"Brownstad, LU",KDB+,1,0,0,0,1,0,0,0,0
112,AI Researcher,Hill LLC,"Lake Christopher, QA",Scikit-learn,1,0,0,0,0,0,0,0,1
113,NLP Engineer,"Morales, Thomas and Miller","Millermouth, GY","MLflow, Scikit-learn, FastAPI",3,1,0,1,0,0,0,0,1
114,Data Scientist,Kelly-Novak,"Nicoleside, AD",KDB+,1,0,0,0,1,0,0,0,0
115,Quant Researcher,Martin-Hernandez,"North Patrick, KE","Scikit-learn, TensorFlow",2,0,0,0,0,0,1,0,1
116,NLP Engineer,Price-Dean,"Dennistown, IQ",MLflow,1,1,0,0,0,0,0,0,0
